iter	Passed	Remaining
0	3	3595
1	5	3090
2	7	2858
3	9	2816
4	11	2663
5	13	2626
6	15	2546
7	17	2486
8	20	2685
9	24	2795
10	26	2775
11	28	2758
12	30	2701
13	31	2603
14	33	2605
15	36	2618
16	39	2707
17	42	2716
18	44	2677
19	45	2647
20	49	2700
21	52	2753
22	56	2846
23	58	2820
24	61	2820
25	64	2862
26	69	2960
27	71	2942
28	73	2887
29	75	2867
30	77	2845
31	79	2850
32	83	2891
33	86	2881
34	88	2874
35	90	2864
36	92	2847
37	94	2831
38	96	2818
39	98	2795
40	100	2771
41	102	2753
42	104	2745
43	105	2717
44	108	2719
45	110	2719
46	112	2702
47	114	2684
48	116	2673
49	117	2644
50	119	2629
51	121	2620
52	125	2646
53	126	2631
54	128	2615
55	130	2609
56	132	2590
57	134	2576
58	135	2565
59	138	2567
60	140	2554
61	142	2551
62	144	2538
63	145	2525
64	147	2515
65	149	2502
66	151	2501
67	154	2518
68	157	2514
69	159	2505
70	161	2500
71	162	2484
72	164	2472
73	167	2481
74	169	2474
75	171	2468
76	172	2459
77	174	2451
78	176	2440
79	177	2429
80	179	2423
81	182	2432
82	184	2426
83	186	2417
84	188	2411
85	190	2403
86	191	2395
87	194	2396
88	196	2396
89	198	2388
90	200	2380
91	201	2371
92	203	2362
93	205	2353
94	206	2346
95	209	2345
96	213	2365
97	214	2355
98	216	2349
99	218	2343
100	219	2334
101	222	2332
102	225	2343
103	227	2338
104	228	2328
105	230	2322
106	232	2313
107	233	2305
108	235	2301
109	238	2305
110	240	2304
111	242	2297
112	244	2291
113	245	2284
114	247	2278
115	249	2271
116	250	2264
117	255	2282
118	257	2276
119	258	2269
120	260	2262
121	261	2256
122	263	2249
123	265	2243
124	268	2248
125	270	2246
126	272	2240
127	273	2234
128	275	2227
129	276	2220
130	278	2213
131	279	2207
132	283	2215
133	285	2212
134	287	2210
135	289	2205
136	290	2199
137	292	2192
138	294	2188
139	297	2197
140	299	2193
141	301	2187
142	302	2181
143	304	2175
144	306	2170
145	307	2161
146	308	2155
147	311	2154
148	313	2153
149	315	2150
150	317	2146
151	318	2140
152	320	2135
153	323	2141
154	326	2146
155	328	2142
156	330	2140
157	332	2136
158	333	2128
159	335	2122
160	336	2116
161	338	2114
162	341	2115
163	343	2110
164	345	2108
165	347	2106
166	349	2102
167	350	2098
168	352	2094
169	355	2094
170	357	2092
171	358	2088
172	360	2083
173	362	2080
174	364	2075
175	365	2071
176	368	2075
177	370	2071
178	372	2067
179	374	2063
180	375	2060
181	377	2057
182	379	2053
183	382	2054
184	384	2051
185	385	2046
186	387	2040
187	388	2037
188	390	2031
189	391	2026
190	393	2022
191	394	2016
192	397	2020
193	399	2014
194	401	2013
195	403	2009
196	404	2005
197	406	2002
198	408	1999
199	411	2002
200	413	2000
201	415	1999
202	417	1994
203	419	1994
204	421	1992
205	424	1990
206	430	2007
207	432	2007
208	434	2004
209	436	2000
210	438	1997
211	440	1997
212	446	2012
213	448	2011
214	450	2007
215	453	2008
216	456	2011
217	459	2013
218	462	2015
219	464	2013
220	467	2012
221	471	2019
222	473	2016
223	475	2016
224	478	2016
225	480	2014
226	482	2011
227	486	2014
228	488	2011
229	489	2008
230	491	2005
231	493	2001
232	494	1996
233	496	1994
234	499	1992
235	501	1990
236	503	1986
237	504	1982
238	506	1979
239	508	1975
240	509	1971
241	511	1968
242	513	1966
243	516	1964
244	517	1961
245	519	1958
246	521	1954
247	523	1951
248	525	1949
249	528	1950
250	530	1949
251	532	1946
252	533	1941
253	535	1937
254	537	1935
255	539	1932
256	540	1927
257	544	1929
258	546	1928
259	548	1925
260	550	1922
261	552	1921
262	554	1917
263	555	1913
264	558	1912
265	560	1911
266	562	1908
267	564	1905
268	565	1901
269	567	1896
270	568	1891
271	570	1889
272	572	1887
273	574	1884
274	575	1880
275	578	1881
276	580	1878
277	582	1874
278	583	1871
279	586	1869
280	588	1866
281	589	1862
282	592	1862
283	594	1860
284	596	1857
285	597	1854
286	601	1855
287	603	1853
288	605	1852
289	607	1848
290	608	1844
291	610	1840
292	611	1837
293	614	1837
294	616	1834
295	618	1831
296	620	1829
297	621	1826
298	623	1823
299	626	1821
300	628	1820
301	630	1818
302	633	1819
303	635	1817
304	637	1814
305	639	1810
306	641	1809
307	643	1808
308	647	1810
309	648	1806
310	650	1803
311	652	1800
312	654	1798
313	657	1798
314	659	1797
315	662	1795
316	665	1796
317	667	1793
318	669	1792
319	672	1791
320	674	1789
321	676	1787
322	678	1784
323	679	1781
324	681	1779
325	685	1779
326	687	1778
327	689	1775
328	692	1776
329	694	1772
330	695	1768
331	696	1765
332	700	1766
333	702	1763
334	703	1761
335	705	1757
336	707	1754
337	709	1751
338	710	1748
339	712	1745
340	715	1745
341	716	1742
342	718	1738
343	720	1736
344	722	1732
345	723	1729
346	725	1726
347	728	1726
348	730	1723
349	731	1720
350	733	1717
351	734	1714
352	736	1711
353	738	1707
354	740	1706
355	743	1707
356	745	1704
357	747	1701
358	748	1698
359	750	1695
360	752	1691
361	755	1691
362	757	1689
363	759	1686
364	760	1684
365	762	1680
366	763	1677
367	765	1673
368	766	1671
369	768	1668
370	769	1664
371	773	1665
372	774	1661
373	776	1658
